,genre,simplified genre,simplified genre from URL
2337,http://fr.dbpedia.org/resource/Techno_hardcore,techno hardcore,True
2338,http://fr.dbpedia.org/resource/Gabber_(musique),gabber (musique),True
2339,http://fr.dbpedia.org/resource/Pop-punk,pop-punk,True
2340,"Hard rock, AOR",hard rock,False
2341,"Hard rock, AOR",aor,False
2342,"Rock, soul, électronique et industrielle",rock,False
2343,"Rock, soul, électronique et industrielle",soul,False
2344,"Rock, soul, électronique et industrielle",electronique,False
2345,"Rock, soul, électronique et industrielle",industrielle,False
2346,http://fr.dbpedia.org/resource/New_rave,new rave,True
2347,http://fr.dbpedia.org/resource/Dance-punk,dance-punk,True
2348,http://fr.dbpedia.org/resource/Musique_québécoise,musique quebecoise,True
2349,http://fr.dbpedia.org/resource/Rock_indie,rock indie,True
2350,http://fr.dbpedia.org/resource/Allemand,allemand,True
2351,http://fr.dbpedia.org/resource/Choral,choral,True
2352,chanson française et néerlandaise,chanson française,False
2353,chanson française et néerlandaise,neerlandaise,False
2354,http://fr.dbpedia.org/resource/Pop_indépendante,pop independante,True
2355,http://fr.dbpedia.org/resource/Speedcore,speedcore,True
2356,http://fr.dbpedia.org/resource/J-core,j-core,True
2357,http://fr.dbpedia.org/resource/Pop/_electro,pop,True
2358,http://fr.dbpedia.org/resource/Pop/_electro, electro,True
2359,http://fr.dbpedia.org/resource/Folklore,folklore,True
2360,http://fr.dbpedia.org/resource/Symphonie,symphonie,True
2361,http://fr.dbpedia.org/resource/Poème_symphonique,poeme symphonique,True
2362,http://fr.dbpedia.org/resource/Rap-pop,rap-pop,True
2363,http://fr.dbpedia.org/resource/Latin_Jazz,latin jazz,True
2364,http://fr.dbpedia.org/resource/Deathgrind,deathgrind,True
2365,http://fr.dbpedia.org/resource/Music-hall,music-hall,True
2366,http://fr.dbpedia.org/resource/Pop_rap,pop rap,True
2367,Chanson / folk,chanson ,False
2368,Chanson / folk,folk,False
2369,"Pop, Teen Pop, Electropop",pop,False
2370,"Pop, Teen Pop, Electropop",teen pop,False
2371,"Pop, Teen Pop, Electropop",electropop,False
2372,"Punk hardcore, rock expérimental, post-hardcore, metalcore",punk hardcore,False
2373,"Punk hardcore, rock expérimental, post-hardcore, metalcore",rock experimental,False
2374,"Punk hardcore, rock expérimental, post-hardcore, metalcore",post-hardcore,False
2375,"Punk hardcore, rock expérimental, post-hardcore, metalcore",metalcore,False
2376,http://fr.dbpedia.org/resource/Rock_celtique,rock celtique,True
2377,http://fr.dbpedia.org/resource/Zouk_(musique),zouk (musique),True
2378,Death Metal,death metal,False
2379,"R&B, urban, dance-pop, house, gospel, jazz",r&b,False
2380,"R&B, urban, dance-pop, house, gospel, jazz",urban,False
2381,"R&B, urban, dance-pop, house, gospel, jazz",dance-pop,False
2382,"R&B, urban, dance-pop, house, gospel, jazz",house,False
2383,"R&B, urban, dance-pop, house, gospel, jazz",gospel,False
2384,"R&B, urban, dance-pop, house, gospel, jazz",jazz,False
2385,deep house,deep house,False
2386,http://fr.dbpedia.org/resource/Cinématographique,cinematographique,True
2387,http://fr.dbpedia.org/resource/Piano_pop,piano pop,True
2388,http://fr.dbpedia.org/resource/Soul_rock,soul rock,True
2389,http://fr.dbpedia.org/resource/Folk-rock,folk-rock,True
2390,http://fr.dbpedia.org/resource/Symphonic_metal,symphonic metal,True
2391,http://fr.dbpedia.org/resource/Dance_music,dance music,True
2392,"Rap, folk, musiques traditionnelles maliennes",rap,False
2393,"Rap, folk, musiques traditionnelles maliennes",folk,False
2394,"Rap, folk, musiques traditionnelles maliennes",musiques traditionnelles maliennes,False
2395,Electro-Soul,electro-soul,False
2396,http://fr.dbpedia.org/resource/Lied,lied,True
2397,"Folk, folk rock, chanson traditionnelle",folk,False
2398,"Folk, folk rock, chanson traditionnelle",folk rock,False
2399,"Folk, folk rock, chanson traditionnelle",chanson traditionnelle,False
2400,http://fr.dbpedia.org/resource/Jazz-funk,jazz-funk,True
2401,http://fr.dbpedia.org/resource/Disco-funk,disco-funk,True
2402,http://fr.dbpedia.org/resource/Shoegazing,shoegazing,True
2403,http://fr.dbpedia.org/resource/Go-go,go-go,True
2404,"R&B, dance pop, boogie",r&b,False
2405,"R&B, dance pop, boogie",dance pop,False
2406,"R&B, dance pop, boogie",boogie,False
2407,http://fr.dbpedia.org/resource/Teen_pop,teen pop,True
2408,http://fr.dbpedia.org/resource/Twang,twang,True
2409,http://fr.dbpedia.org/resource/Zeuhl,zeuhl,True
2410,http://fr.dbpedia.org/resource/Cumbia,cumbia,True
2411,"Soul, pop",soul,False
2412,"Soul, pop",pop,False
2413,http://fr.dbpedia.org/resource/House_progressive,house progressive,True
2414,http://fr.dbpedia.org/resource/Kayōkyoku,kayokyoku,True
2415,quixotic indie pop,quixotic indie pop,False
2416,"Hard rock, blues rock, glam metal",hard rock,False
2417,"Hard rock, blues rock, glam metal",blues rock,False
2418,"Hard rock, blues rock, glam metal",glam metal,False
2419,http://fr.dbpedia.org/resource/Gwoka,gwoka,True
2420,http://fr.dbpedia.org/resource/Punk_celtique,punk celtique,True
2421,http://fr.dbpedia.org/resource/Musique_irlandaise,musique irlandaise,True
2422,http://fr.dbpedia.org/resource/Avant-jazz,avant-jazz,True
2423,http://fr.dbpedia.org/resource/Be_bop,be bop,True
2424,http://fr.dbpedia.org/resource/Rock_sudiste,rock sudiste,True
2425,http://fr.dbpedia.org/resource/Goth_metal,goth metal,True
2426,http://fr.dbpedia.org/resource/Hierophant_black_metal,hierophant black metal,True
2427,http://fr.dbpedia.org/resource/Hiphop,hiphop,True
2428,http://fr.dbpedia.org/resource/Kuduro,kuduro,True
2429,http://fr.dbpedia.org/resource/Guitare_classique,guitare classique,True
2430,http://fr.dbpedia.org/resource/New_age_(musique),new age (musique),True
2431,http://fr.dbpedia.org/resource/Théâtre,theâtre,True
2432,http://fr.dbpedia.org/resource/Folk_Electrique,folk electrique,True
2433,http://fr.dbpedia.org/resource/Death_rock,death rock,True
2434,http://fr.dbpedia.org/resource/Rock_garage,rock garage,True
2435,"Dance, Pop",dance,False
2436,"Dance, Pop",pop,False
2437,http://fr.dbpedia.org/resource/Death_metal_mélodique,death metal melodique,True
2438,"Jazz, jazz-rock, rock and roll, etc.",jazz,False
2439,"Jazz, jazz-rock, rock and roll, etc.",jazz-rock,False
2440,"Jazz, jazz-rock, rock and roll, etc.",rock and roll,False
2441,"Jazz, jazz-rock, rock and roll, etc.",.,False
2442,"Alternative rock, post-grunge, pop",alternative rock,False
2443,"Alternative rock, post-grunge, pop",post-grunge,False
2444,"Alternative rock, post-grunge, pop",pop,False
2445,http://fr.dbpedia.org/resource/Art_rock,art rock,True
2446,http://fr.dbpedia.org/resource/Eurobeat,eurobeat,True
2447,http://fr.dbpedia.org/resource/Electro-indus,electro-indus,True
2448,http://fr.dbpedia.org/resource/Schlager,schlager,True
2449,"Pop, indie",pop,False
2450,"Pop, indie",indie,False
2451,http://fr.dbpedia.org/resource/Crustcore,crustcore,True
2452,http://fr.dbpedia.org/resource/Grindcore,grindcore,True
2453,http://fr.dbpedia.org/resource/Musiques_électroniques,musiques electroniques,True
2454,http://fr.dbpedia.org/resource/Arabesque_music,arabesque music,True
2455,http://fr.dbpedia.org/resource/Musique_algérienne,musique algerienne,True
2456,http://fr.dbpedia.org/resource/Progressive,progressive,True
2457,"Blues, folk et rock instrumental",blues,False
2458,"Blues, folk et rock instrumental",folk,False
2459,"Blues, folk et rock instrumental",rock instrumental,False
2460,http://fr.dbpedia.org/resource/Jazz_funk,jazz funk,True
2461,http://fr.dbpedia.org/resource/Rap_metal,rap metal,True
2462,http://fr.dbpedia.org/resource/Rapcore,rapcore,True
2463,http://fr.dbpedia.org/resource/Power_Pop,power pop,True
2464,http://fr.dbpedia.org/resource/Pop-Folk_(musique),pop-folk (musique),True
